PROVINCIA,CODICE COMUNE,NOME COMUNE,POPOLAZIONE TOTALE
Gorizia,031001,Capriva del Friuli,"1,593"
Gorizia,031002,Cormons,"7,047"
Gorizia,031003,Doberdò del Lago,"1,317"
Gorizia,031004,Dolegna del Collio,289
Gorizia,031005,Farra d'Isonzo,"1,655"
Gorizia,031006,Fogliano Redipuglia,"2,979"
Gorizia,031007,Gorizia,"33,620"
Gorizia,031008,Gradisca d'Isonzo,"6,413"
Gorizia,031009,Grado,"7,532"
Gorizia,031010,Mariano del Friuli,"1,464"
Gorizia,031011,Medea,946
Gorizia,031012,Monfalcone,"30,360"
Gorizia,031013,Moraro,726
Gorizia,031014,Mossa,"1,518"
Gorizia,031015,Romans d'Isonzo,"3,565"
Gorizia,031016,Ronchi dei Legionari,"11,862"
Gorizia,031017,Sagrado,"2,157"
Gorizia,031018,San Canzian d'Isonzo,"6,023"
Gorizia,031019,San Floriano del Collio,735
Gorizia,031020,San Lorenzo Isontino,"1,496"
Gorizia,031021,San Pier d'Isonzo,"1,919"
Gorizia,031022,Savogna d'Isonzo,"1,680"
Gorizia,031023,Staranzano,"7,120"
Gorizia,031024,Turriaco,"2,779"
Gorizia,031025,Villesse,"1,632"
Pordenone,093001,Andreis,246
Pordenone,093002,Arba,"1,334"
Pordenone,093004,Aviano,"8,990"
Pordenone,093005,Azzano Decimo,"15,769"
Pordenone,093006,Barcis,231
Pordenone,093007,Brugnera,"9,262"
Pordenone,093008,Budoia,"2,514"
Pordenone,093009,Caneva,"6,195"
Pordenone,093010,Casarsa della Delizia,"8,327"
Pordenone,093011,Castelnovo del Friuli,825
Pordenone,093012,Cavasso Nuovo,"1,481"
Pordenone,093013,Chions,"4,994"
Pordenone,093014,Cimolais,339
Pordenone,093015,Claut,863
Pordenone,093016,Clauzetto,382
Pordenone,093017,Cordenons,"17,718"
Pordenone,093018,Cordovado,"2,701"
Pordenone,093019,Erto e Casso,360
Pordenone,093020,Fanna,"1,464"
Pordenone,093021,Fiume Veneto,"11,801"
Pordenone,093022,Fontanafredda,"12,893"
Pordenone,093024,Frisanco,588
Pordenone,093025,Maniago,"11,498"
Pordenone,093026,Meduno,"1,503"
Pordenone,093027,Montereale Valcellina,"4,197"
Pordenone,093028,Morsano al Tagliamento,"2,728"
Pordenone,093029,Pasiano di Pordenone,"7,854"
Pordenone,093030,Pinzano al Tagliamento,"1,493"
Pordenone,093031,Polcenigo,"3,099"
Pordenone,093032,Porcia,"14,958"
Pordenone,093033,Pordenone,"52,314"
Pordenone,093034,Prata di Pordenone,"8,364"
Pordenone,093035,Pravisdomini,"3,507"
Pordenone,093036,Roveredo in Piano,"5,763"
Pordenone,093037,Sacile,"19,951"
Pordenone,093038,San Giorgio della Richinvelda,"4,503"
