PROVINCIA,CODICE COMUNE,NOME COMUNE,POPOLAZIONE TOTALE
Trento,22001,Ala,8888
Trento,22002,Albiano,1544
Trento,22003,Aldeno,3374
Trento,22005,Andalo,1220
Trento,22006,Arco,17653
Trento,22007,Avio,4110
Trento,22009,Baselga di Pinè,5266
Trento,22011,Bedollo,1498
Trento,22013,Besenello,2819
Trento,22015,Bieno,472
Trento,22017,Bleggio Superiore,1534
Trento,22018,Bocenago,405
Trento,22021,Bondone,647
Trento,22022,Borgo Valsugana,7147
Trento,22025,Brentonico,4141
Trento,22026,Bresimo,239
Trento,22029,Caderzone Terme,688
Trento,22032,Calceranica al Lago,1413
Trento,22033,Caldes,1111
Trento,22034,Caldonazzo,4024
Trento,22035,Calliano,2062
Trento,22036,Campitello di Fassa,674
Trento,22037,Campodenno,1516
Trento,22038,Canal San Bovo,1482
Trento,22039,Canazei,1915
Trento,22040,Capriana,604
Trento,22042,Carisolo,910
Trento,22043,Carzano,511
Trento,22045,Castel Condino,214
Trento,22047,Castello-Molina di Fiemme,2322
Trento,22048,Castello Tesino,1157
Trento,22049,Castelnuovo,1078
Trento,22050,Cavalese,4010
Trento,22051,Cavareno,1117
Trento,22052,Cavedago,609
Trento,22053,Cavedine,3089
Trento,22054,Cavizzana,236
Trento,22058,Cimone,737
Trento,22059,Cinte Tesino,347
Trento,22060,Cis,287
Trento,22061,Civezzano,4171
Trento,22062,Cles,7396
Trento,22064,Commezzadura,1013
Trento,22068,Croviana,684
Trento,22071,Dambel,396
Trento,22074,Denno,1234
Trento,22078,Drena,601
Trento,22079,Dro,5099
Trento,22081,Fai della Paganella,937
Trento,22083,Fiavè,1076
Trento,22085,Fierozzo,463
Trento,22087,Folgaria,3153
Trento,22089,Fornace,1352
Trento,22090,Frassilongo,343
Trento,22091,Garniga Terme,414
Trento,22092,Giovo,2518
Trento,22093,Giustino,742
Trento,22095,Grigno,2010
Trento,22097,Imer,1176
Trento,22098,Isera,2846
Trento,22102,Lavarone,1202
Trento,22103,Lavis,9194
Trento,22104,Levico Terme,8297
Trento,22106,Livo,772
Trento,22108,Lona-Lases,875
Trento,22109,Luserna,266
Trento,22110,Malé,2288
Trento,22112,Massimeno,134
Trento,22113,Mazzin,610
Trento,22114,Mezzana,870
Trento,22115,Mezzano,1576
Trento,22116,Mezzocorona,5496
Trento,22117,Mezzolombardo,7678
Trento,22118,Moena,2571
Trento,22120,Molveno,1107
Trento,22123,Mori,10268
Trento,22124,Nago-Torbole,2760
Trento,22127,Nogaredo,2069
Trento,22128,Nomi,1357
Trento,22129,Novaledo,1146
Trento,22130,Ospedaletto,816
Trento,22131,Ossana,820
Trento,22133,Palù del Fersina,162
Trento,22134,Panchià,817
Trento,22135,Ronzo-Chienis,1006
Trento,22136,Peio,1796
Trento,22137,Pellizzano,769
Trento,22138,Pelugo,390
Trento,22139,Pergine Valsugana,21577
Trento,22142,Pieve Tesino,669
Trento,22143,Pinzolo,3088
Trento,22144,Pomarolo,2449
Trento,22147,Predazzo,4498
Trento,22150,Rabbi,1365
Trento,22153,Riva del Garda,17782
Trento,22155,Romeno,1527
Trento,22156,Roncegno Terme,2965
Trento,22157,Ronchi Valsugana,454
Trento,22159,Ronzone,498
Trento,22160,Roverè della Luna,1652
Trento,22161,Rovereto,40263
Trento,22162,Ruffrè-Mendola,406
Trento,22163,Rumo,786
Trento,22164,Sagron Mis,177
Trento,22165,Samone,538
Trento,22167,San Michele all'Adige,4119
Trento,22168,Sant'Orsola Terme,1138
Trento,22169,Sanzeno,911
Trento,22170,Sarnonico,788
Trento,22171,Scurelle,1377
Trento,22172,Segonzano,1385
Trento,22173,Sfruz,375
Trento,22176,Soraga di Fassa,721
Trento,22177,Sover,792
Trento,22179,Spiazzo,1279
Trento,22180,Spormaggiore,1273
Trento,22181,Sporminore,720
Trento,22182,Stenico,1174
Trento,22183,Storo,4516
Trento,22184,Strembo,582
Trento,22188,Telve,1942
Trento,22189,Telve di Sopra,623
Trento,22190,Tenna,1070
Trento,22191,Tenno,2061
Trento,22193,Terragnolo,703
Trento,22195,Terzolas,645
Trento,22196,Tesero,2978
Trento,22199,Tione di Trento,3674
Trento,22200,Ton,1291
Trento,22202,Torcegno,705
Trento,22203,Trambileno,1495
Trento,22205,Trento,118640
Trento,22209,Valfloriana,471
Trento,22210,Vallarsa,1377
Trento,22213,Vermiglio,1777
Trento,22216,Vignola-Falesina,209
Trento,22222,Villa Lagarina,3885
Trento,22224,Volano,3158
Trento,22226,Ziano di Fiemme,1760
Trento,22228,Comano Terme,3014
Trento,22229,Ledro,5436
Trento,22230,Predaia,6991
Trento,22231,San Lorenzo Dorsino,1568
Trento,22232,Valdaone,1160
Trento,22233,Dimaro Folgarida,2136
Trento,22234,Pieve di Bono-Prezzo,1452
Trento,22235,Altavalle,1647
Trento,22236,Altopiano della Vigolana,5156
Trento,22237,Amblar-Don,555
Trento,22238,Borgo Chiese,1913
Trento,22239,Borgo Lares,730
Trento,22240,Castel Ivano,3270
Trento,22241,Cembra Lisignago,2351
Trento,22242,Contà,1405
Trento,22243,Madruzzo,2977
Trento,22244,Porte di Rendena,1820
Trento,22245,Primiero San Martino di Castrozza,5114
Trento,22246,Sella Giudicarie,2971
Trento,22247,Tre Ville,1369
Trento,22248,Vallelaghi,5231
Trento,22249,Ville d'Anaunia,4659
Trento,22250,San Giovanni di Fassa,3622
Trento,22251,Terre d'Adige,3124
Trento,22252,Borgo d'Anaunia,2591
Trento,22253,Novella,3550
Trento,22254,Ville di Fiemme,2647
Bolzano,021001,Aldino,1607
Bolzano,021002,Andriano,1056
Bolzano,021003,Anterivo,397
Bolzano,021004,Appiano sulla strada del vino,14963
Bolzano,021005,Avelengo,816
Bolzano,021006,Badia,3575
Bolzano,021007,Barbiano,1768
Bolzano,021008,Bolzano,106568
Bolzano,021009,Braies,689
Bolzano,021010,Brennero,2411
Bolzano,021011,Bressanone,23108
Bolzano,021012,Bronzolo,2793
Bolzano,021013,Brunico,17157
Bolzano,021014,Caines,381
Bolzano,021015,Caldaro sulla strada del vino,8280
Bolzano,021016,Campo di Trens,2778
Bolzano,021017,Campo Tures,5812
Bolzano,021018,Castelbello-Ciardes,2383
Bolzano,021019,Castelrotto,7053
Bolzano,021020,Cermes,1585
Bolzano,021021,Chienes,3066
Bolzano,021022,Chiusa,5208
Bolzano,021023,Cornedo all'Isarco,3425
Bolzano,021024,Cortaccia sulla strada del vino,2232
Bolzano,021025,Cortina sulla strada del vino,662
Bolzano,021026,Corvara in Badia,1446
Bolzano,021027,Curon Venosta,2391
Bolzano,021028,Dobbiaco,3451
Bolzano,021029,Egna,5514
Bolzano,021030,Falzes,3175
Bolzano,021031,Fiè allo Sciliar,3709
Bolzano,021032,Fortezza,1106
Bolzano,021033,Funes,2559
Bolzano,021034,Gais,3277
Bolzano,021035,Gargazzone,1770
Bolzano,021036,Glorenza,933
Bolzano,021037,Laces,5293
Bolzano,021038,Lagundo,5042
Bolzano,021039,Laion,2807
Bolzano,021040,Laives,18658
Bolzano,021041,Lana,12680
Bolzano,021042,Lasa,4180
Bolzano,021043,Lauregno,315
Bolzano,021044,Luson,1581
Bolzano,021045,Magrè sulla strada del vino,1320
Bolzano,021046,Malles Venosta,5260
Bolzano,021047,Marebbe,3200
Bolzano,021048,Marlengo,2880
Bolzano,021049,Martello,839
Bolzano,021050,Meltina,1730
Bolzano,021051,Merano,41498
Bolzano,021052,Monguelfo-Tesido,2918
Bolzano,021053,Montagna sulla strada del vino,1738
Bolzano,021054,Moso in Passiria,2031
Bolzano,021055,Nalles,2105
Bolzano,021056,Naturno,6086
Bolzano,021057,Naz-Sciaves,3464
Bolzano,021058,Nova Levante,2087
Bolzano,021059,Nova Ponente,4126
Bolzano,021060,Ora,3882
Bolzano,021061,Ortisei,4724
Bolzano,021062,Parcines,3955
Bolzano,021063,Perca,1729
Bolzano,021064,Plaus,763
Bolzano,021065,Ponte Gardena,251
Bolzano,021066,Postal,2033
Bolzano,021067,Prato allo Stelvio,3874
Bolzano,021068,Predoi,516
Bolzano,021069,Proves,248
Bolzano,021070,Racines,4674
Bolzano,021071,Rasun-Anterselva,2934
Bolzano,021072,Renon,8211
Bolzano,021073,Rifiano,1380
Bolzano,021074,Rio di Pusteria,3269
Bolzano,021075,Rodengo,1283
Bolzano,021076,Salorno sulla strada del vino,3823
Bolzano,021077,San Candido,3300
Bolzano,021079,San Genesio Atesino,3006
Bolzano,021080,San Leonardo in Passiria,3642
Bolzano,021081,San Lorenzo di Sebato,3963
Bolzano,021082,San Martino in Badia,1778
Bolzano,021083,San Martino in Passiria,3322
Bolzano,021084,San Pancrazio,1549
Bolzano,021085,Santa Cristina Valgardena,2049
Bolzano,021086,Sarentino,7258
Bolzano,021087,Scena,3072
Bolzano,021088,Selva dei Molini,1368
Bolzano,021089,Selva di Val Gardena,2619
Bolzano,021091,Senales,1236
Bolzano,021092,Sesto,1818
Bolzano,021093,Silandro,6368
Bolzano,021094,Sluderno,1888
Bolzano,021095,Stelvio,1150
Bolzano,021096,Terento,1821
Bolzano,021097,Terlano,4969
Bolzano,021098,Termeno sulla strada del vino,3392
Bolzano,021099,Tesimo,2050
Bolzano,021100,Tires,1029
Bolzano,021101,Tirolo,2493
Bolzano,021102,Trodena nel parco naturale,1053
Bolzano,021103,Tubre,951
Bolzano,021104,Ultimo,2932
Bolzano,021105,Vadena,1104
Bolzano,021106,Valdaora,3262
Bolzano,021107,Val di Vizze,3113
Bolzano,021108,Valle Aurina,5990
Bolzano,021109,Valle di Casies,2350
Bolzano,021110,Vandoies,3360
Bolzano,021111,Varna,5052
Bolzano,021112,Verano,1010
Bolzano,021113,Villabassa,1622
Bolzano,021114,Villandro,1895
Bolzano,021115,Vipiteno,7032
Bolzano,021116,Velturno,3107
Bolzano,021117,La Valle,1416
Bolzano,021118,Senale-San Felice,799
