PROVINCIA,CODICE COMUNE,NOME COMUNE,POPOLAZIONE TOTALE
Belluno,25001,Agordo,4019
Belluno,25003,Alleghe,1088
Belluno,25004,Arsie,2168
Belluno,25005,Auronzo di Cadore,3027
Belluno,25006,Belluno,35543
Belluno,25007,Borca di Cadore,803
Belluno,25008,Calalzo di Cadore,1829
Belluno,25010,Cencenighe Agordino,1217
Belluno,25011,Cesiomaggiore,3942
Belluno,25012,Chies d'Alpago,1240
Belluno,25013,Cibiana di Cadore,336
Belluno,25014,Colle Santa Lucia,340
Belluno,25015,Comelico Superiore,2075
Belluno,25016,Cortina d'Ampezzo,5491
Belluno,25017,Danta di Cadore,422
Belluno,25018,Domegge di Cadore,2223
Belluno,25019,Falcade,1746
Belluno,25021,Feltre,20631
Belluno,25022,Fonzaso,2980
Belluno,25023,Canale d'Agordo,1063
Belluno,25025,Gosaldo,517
Belluno,25026,Lamon,2600
Belluno,25027,La Valle Agordina,1059
Belluno,25029,Limana,5418
Belluno,25030,Livinallongo del Col di Lana,1247
Belluno,25032,Lorenzago di Cadore,524
Belluno,25033,Lozzo di Cadore,1229
Belluno,25035,Ospitale di Cadore,261
Belluno,25036,Pedavena,4301
Belluno,25037,Perarolo di Cadore,358
Belluno,25039,Pieve di Cadore,3602
Belluno,25040,Ponte nelle Alpi,7910
Belluno,25043,Rivamonte Agordino,602
Belluno,25044,Rocca Pietore,1126
Belluno,25045,San Gregorio nelle Alpi,1569
Belluno,25046,San Gregorio nelle Alpi,374
Belluno,25047,San Pietro di Cadore,1450
Belluno,25048,Santa Giustina,6602
Belluno,25049,San Tomaso Agordino,593
Belluno,25050,Santo Stefano di Cadore,2314
Belluno,25051,San Vito di Cadore,1916
Belluno,25053,Sedico,10129
Belluno,25054,Selva di Cadore,502
Belluno,25055,Seren del Grappa,2332
Belluno,25056,Sospirolo,3109
Belluno,25057,Soverzene,363
Belluno,25058,Sovramonte,1302
Belluno,25059,Taibon Agordino,1722
Belluno,25060,Tambre,1278
Belluno,25062,Vallada Agordina,461
Belluno,25063,Valle di Cadore,1813
Belluno,25065,Vigo di Cadore,1334
Belluno,25066,Vodo Cadore,832
Belluno,25067,Voltago Agordino,791
Belluno,25069,Zoppe di Cadore,180
Belluno,25071,Longarone,5018
Belluno,25072,Alpago,6621
Belluno,25073,Val di Zoldo,2735
Belluno,25074,Borgo Valbelluna,13580
Belluno,25075,Setteville,5851
Padova,28001,Abano Terme,20464
Padova,28002,Agna,3148
Padova,28003,Albignasego,27350
Padova,28004,Anguillara Veneta,4106
Padova,28005,Arqua Petrarca,1779
Padova,28006,Arre,2069
Padova,28007,Arzergrande,4851
Padova,28008,Bagnoli di Sopra,3388
Padova,28009,Baone,3028
Padova,28010,Barbona,564
Padova,28011,Battaglia Terme,3897
Padova,28012,Boara Pisani,2357
Padova,28013,Borgoricco,9079
Padova,28014,Bovolenta,3422
Padova,28015,Brugine,7155
Padova,28016,Cadoneghe,15783
Padova,28017,Campodarsego,15123
Padova,28018,Campodoro,2687
Padova,28019,Camposampiero,11829
Padova,28020,Campo San Martino,5571
Padova,28021,Candiana,2159
Padova,28023,Carmignano di Brenta,7456
Padova,28026,Cartura,4564
Padova,28027,Casale di Scodosia,4643
Padova,28028,Casalserugo,5295
Padova,28029,Castelbaldo,1451
Padova,28030,Cervarese Santa Croce,5538
Padova,28031,Cinto Euganeo,1899
Padova,28032,Cittadella,20022
Padova,28033,Codevigo,6275
Padova,28034,Conselve,9976
Padova,28035,Correzzola,5200
Padova,28036,Curtarolo,7176
Padova,28037,Este,15888
Padova,28038,Fontaniva,8069
Padova,28039,Galliera Veneta,7137
Padova,28040,Galzignano Terme,4287
Padova,28041,Gazzo,4308
Padova,28042,Grantorto,4435
Padova,28043,Granze,1874
Padova,28044,Legnaro,9551
Padova,28045,Limena,8229
Padova,28046,Loreggia,7719
Padova,28047,Lozzo Atestino,3078
Padova,28048,Masera di Padova,9304
Padova,28049,Masi,1788
Padova,28050,Massanzago,6080
Padova,28052,Megliadino San Vitale,1792
Padova,28053,Merlara,2552
Padova,28054,Mestrino,11856
Padova,28055,Monselice,17075
Padova,28056,Montagnana,9110
Padova,28057,Montegrotto Terme,11543
Padova,28058,Noventa Padovana,11323
Padova,28059,Ospedaletto Euganeo,5611
Padova,28060,Padova,207412
Padova,28061,Pernumia,3756
Padova,28062,Piacenza d'Adige,1250
Padova,28063,Piazzola sul Brenta,11074
Padova,28064,Piombino Dese,9552
Padova,28065,Piove di Sacco,20236
Padova,28066,Polverara,3401
Padova,28067,Ponso,2434
Padova,28068,Pontelongo,3675
Padova,28069,Ponte San Nicolo,13133
Padova,28070,Pozzonovo,3409
Padova,28071,Rovolon,4868
